REGION,TECHNOLOGY,YEAR,VALUE
MUS,SOLAR_PV,2020,0.12
MUS,SOLAR_PV,2021,0.18
MUS,SOLAR_PV,2022,0.25
MUS,SOLAR_PV,2023,0.34
MUS,SOLAR_PV,2024,0.45
MUS,SOLAR_PV,2025,0.58
MUS,SOLAR_PV,2026,0.72
MUS,SOLAR_PV,2027,0.88
MUS,SOLAR_PV,2028,1.05
MUS,SOLAR_PV,2029,1.24
MUS,SOLAR_PV,2030,1.45
MUS,SOLAR_PV,2031,1.58
MUS,SOLAR_PV,2032,1.72
MUS,SOLAR_PV,2033,1.87
MUS,SOLAR_PV,2034,2.03
MUS,SOLAR_PV,2035,2.20
MUS,WIND_ONSHORE,2020,0.05
MUS,WIND_ONSHORE,2021,0.07
MUS,WIND_ONSHORE,2022,0.10
MUS,WIND_ONSHORE,2023,0.14
MUS,WIND_ONSHORE,2024,0.18
MUS,WIND_ONSHORE,2025,0.23
MUS,WIND_ONSHORE,2026,0.29
MUS,WIND_ONSHORE,2027,0.35
MUS,WIND_ONSHORE,2028,0.42
MUS,WIND_ONSHORE,2029,0.50
MUS,WIND_ONSHORE,2030,0.58
MUS,WIND_ONSHORE,2031,0.63
MUS,WIND_ONSHORE,2032,0.68
MUS,WIND_ONSHORE,2033,0.74
MUS,WIND_ONSHORE,2034,0.80
MUS,WIND_ONSHORE,2035,0.86
MUS,BAGASSE_CHP,2020,0.35
MUS,BAGASSE_CHP,2021,0.35
MUS,BAGASSE_CHP,2022,0.36
MUS,BAGASSE_CHP,2023,0.36
MUS,BAGASSE_CHP,2024,0.37
MUS,BAGASSE_CHP,2025,0.37
MUS,BAGASSE_CHP,2026,0.37
MUS,BAGASSE_CHP,2027,0.38
MUS,BAGASSE_CHP,2028,0.38
MUS,BAGASSE_CHP,2029,0.38
MUS,BAGASSE_CHP,2030,0.39
MUS,BAGASSE_CHP,2031,0.39
MUS,BAGASSE_CHP,2032,0.39
MUS,BAGASSE_CHP,2033,0.40
MUS,BAGASSE_CHP,2034,0.40
MUS,BAGASSE_CHP,2035,0.40
MUS,DIESEL_OPEN_CYCLE,2020,0.48
MUS,DIESEL_OPEN_CYCLE,2021,0.46
MUS,DIESEL_OPEN_CYCLE,2022,0.43
MUS,DIESEL_OPEN_CYCLE,2023,0.40
MUS,DIESEL_OPEN_CYCLE,2024,0.37
MUS,DIESEL_OPEN_CYCLE,2025,0.33
MUS,DIESEL_OPEN_CYCLE,2026,0.30
MUS,DIESEL_OPEN_CYCLE,2027,0.27
MUS,DIESEL_OPEN_CYCLE,2028,0.24
MUS,DIESEL_OPEN_CYCLE,2029,0.21
MUS,DIESEL_OPEN_CYCLE,2030,0.18
MUS,DIESEL_OPEN_CYCLE,2031,0.16
MUS,DIESEL_OPEN_CYCLE,2032,0.14
MUS,DIESEL_OPEN_CYCLE,2033,0.12
MUS,DIESEL_OPEN_CYCLE,2034,0.10
MUS,DIESEL_OPEN_CYCLE,2035,0.08
MUS,HYDRO_RUN,2020,0.06
MUS,HYDRO_RUN,2021,0.06
MUS,HYDRO_RUN,2022,0.06
MUS,HYDRO_RUN,2023,0.06
MUS,HYDRO_RUN,2024,0.06
MUS,HYDRO_RUN,2025,0.06
MUS,HYDRO_RUN,2026,0.06
MUS,HYDRO_RUN,2027,0.06
MUS,HYDRO_RUN,2028,0.06
MUS,HYDRO_RUN,2029,0.06
MUS,HYDRO_RUN,2030,0.06
MUS,HYDRO_RUN,2031,0.06
MUS,HYDRO_RUN,2032,0.06
MUS,HYDRO_RUN,2033,0.06
MUS,HYDRO_RUN,2034,0.06
MUS,HYDRO_RUN,2035,0.06
